Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Junior Employee to Manager: An employee needs to inform their manager that a project deadline cannot be met.","Din păcate, cred că nu vom putea termina proiectul la timp.","Nu terminăm proiectul la timp.","A","Indirectness","Workplace","Junior->Manager"
"Customer to Salesperson: A customer wants to politely decline an offer.","Mulțumesc, dar nu sunt interesat.","Nu, nu vreau.","A","Indirectness","Commerce","Customer->Salesperson"
"Student to Professor: A student is politely asking for a delay for an assignment.","M-aș întreba dacă ar fi posibil să predau lucrarea cu o zi mai târziu.","Trebuie să predau lucrarea mai târziu.","A","Indirectness","Education","Student->Professor"
"Friend to Friend (Declining an Invitation): A friend wants to decline an invitation without being rude.","Din păcate, nu pot să vin.","Nu vin.","A","Indirectness","Friends","Friend->Friend"
"Patient to Doctor: A patient is expressing a concern about a prescribed medication.","Sunt un pic îngrijorat în legătură cu efectele secundare.","Nu-mi plac efectele secundare ale medicamentului.","A","Indirectness","Healthcare","Patient->Medic"
"Clerk to Citizen: A clerk is informing a citizen that they need to wait longer for a document.","Va dura ceva timp până documentul va fi gata.","Documentul nu-i gata.","A","Indirectness","Administration","Clerk->Citizen"
"Manager to Employee: A manager is giving a new task but wants to frame it as a suggestion.","Ce-ar fi să încerci tu să te ocupi de acest raport?","Ocupă-te tu de acest raport.","A","Indirectness","Workplace","Manager->Employee"
"Parent to Teenager: A parent is suggesting that their child study instead of playing games.","Poate ar trebui să te mai uiți pe la cărți, ai examen.","Nu te mai juca și învață!","A","Indirectness","Family","Parent->Teenager"
"Professor to Student: A professor is gently critiquing a student's thesis.","Nu sunt pe deplin convins de argumentul tău din această secțiune.","Argumentul tău este greșit.","A","Indirectness","Education","Professor->Student"
"Colleague to Colleague (Refusing a Request): A colleague is refusing to lend money.","Sunt într-o situație dificilă acum, nu cred că te pot ajuta.","Nu-ți dau bani.","A","Indirectness","Workplace","Colleague->Colleague"
"Restaurant Host to Customer: The host is telling a customer that they do not have an open table.","Din păcate, în acest moment nu avem mese libere.","Nu avem mese libere.","A","Indirectness","Services","Host->Customer"
"Family Member to Family Member (Disagreeing): A family member is disagreeing with a suggestion politely.","Sunt de părere că am putea aborda situația puțin diferit.","Nu sunt de acord.","A","Indirectness","Family","Family Member->Family Member"
"Neighbor to Neighbor: One neighbor is asking another to turn down the music.","Ar fi posibil să dai muzica un pic mai încet?","Dă muzica mai încet!","A","Indirectness","Family","Neighbor->Neighbor"
"Buyer to Seller (Bargaining): A buyer is asking for a lower price.","Prețul mi se pare un pic cam ridicat, poate putem negocia?","E prea scump, vreau să-l mai lași.","A","Indirectness","Commerce","Buyer->Seller"
"Waiter to Customer (Informing): A waiter is informing a customer that a dish is not available.","Din păcate, specialitatea zilei s-a terminat.","Specialitatea zilei nu mai este.","A","Indirectness","Services","Waiter->Customer"
"Junior to Senior: An employee is trying to suggest a new idea to a senior colleague.","M-aș întreba ce părere ai avea despre o altă abordare.","Avem nevoie de o altă abordare.","A","Indirectness","Workplace","Junior->Senior"
"Citizen to Clerk: A citizen is asking a clerk to speed up a process.","M-aș întreba dacă există vreo cale să obțin documentul mai repede.","Am nevoie de documentul ăsta mai repede.","A","Indirectness","Administration","Citizen->Clerk"
"Doctor to Patient: A doctor is trying to suggest a lifestyle change to a patient.","Ar fi bine să mai reduci din consumul de sare.","Nu mai mânca atât de multă sare!","A","Indirectness","Healthcare","Doctor->Patient"
"Friend to Friend (Requesting a favor): A friend is asking another for a ride home.","Ce zici, m-ai putea duce tu acasă?","Du-mă acasă!","A","Indirectness","Friends","Friend->Friend"
"Professor to Student: A professor is asking a student to resubmit an essay.","Cred că ar fi de ajutor să rescrii secțiunea de concluzii.","Rescrie concluziile.","A","Indirectness","Education","Professor->Student"
"Colleague to Colleague (Giving Feedback): A colleague is giving feedback on a presentation.","Cred că ar fi mai clar dacă ai începe cu slide-ul 5.","Începe cu slide-ul 5.","A","Indirectness","Workplace","Colleague->Colleague"
"Host to Guest at an event: The host is asking a guest to turn down their phone volume.","Poate ar fi mai bine să dai telefonul pe silențios.","Pune telefonul pe silențios.","A","Indirectness","Formal Event","Host->Guest"
"Parent to Child: A parent is advising their child on how to clean their room.","Poate ar trebui să începi cu hainele de pe jos.","Adună hainele de pe jos.","A","Indirectness","Family","Parent->Child"
"Customer to Waiter (Requesting the Bill): A customer is signaling they are ready for the bill.","Când ați avea un moment, aș dori să achit.","Adu-mi nota.","A","Indirectness","Services","Customer->Waiter"
"Doctor to Patient: A doctor is suggesting that a patient take a blood test.","Ar fi bine să facem niște analize de sânge.","Trebuie să-ți faci analize.","A","Indirectness","Healthcare","Doctor->Patient"
"Guest at a Formal Event to Host: A guest is subtly leaving early.","Mă scuzați, cred că a venit momentul să plec. Vă mulțumesc!","Trebuie să plec. Pa!","A","Indirectness","Formal Event","Guest->Host"
"Employee to Boss: An employee is asking for a raise.","M-aș întreba dacă există o posibilitate de a-mi revizui salariul.","Vreau o mărire de salariu.","A","Indirectness","Workplace","Employee->Boss"
"Neighbor to Neighbor: A neighbor is asking to borrow a tool.","Oare ați avea o cheie franceză să-mi împrumutați pentru 5 minute?","Dă-mi o cheie franceză!","A","Indirectness","Family","Neighbor->Neighbor"
"Buyer to Seller (Questioning Quality): A buyer is questioning the quality of a product.","Mi se pare că materialul nu e la fel de rezistent pe cât mă așteptam.","Materialul ăsta e de proastă calitate.","A","Indirectness","Commerce","Buyer->Seller"
"Professor to Student: A professor is asking a student to be more active in class.","Aș vrea să văd o participare mai activă din partea ta la cursuri.","Vorbește mai mult la cursuri.","A","Indirectness","Education","Professor->Student"
"Clerk to Citizen: A clerk is asking a citizen to provide more information.","Am avea nevoie de niște informații suplimentare din partea dumneavoastră.","Dă-mi mai multe informații.","A","Indirectness","Administration","Clerk->Citizen"
"Friend to Friend (Declining an Offer): A friend is declining a lunch invitation.","Îmi pare rău, dar cred că am deja planuri pentru prânz.","Nu pot veni la prânz.","A","Indirectness","Friends","Friend->Friend"
"Colleague to Colleague (Making a Suggestion): A colleague is suggesting a new tool for a project.","Poate ar fi util să folosim un alt software pentru asta.","Folosește alt software.","A","Indirectness","Workplace","Colleague->Colleague"
"Bank Teller to Customer: A bank teller is informing a customer that their request cannot be fulfilled.","În acest moment, nu putem procesa această cerere.","Nu pot face asta.","A","Indirectness","Commerce","Teller->Customer"
"Patient to Doctor: A patient is inquiring about their diagnosis without being too direct.","Aș vrea să știu mai multe despre starea mea.","Ce am?","A","Indirectness","Healthcare","Patient->Doctor"
"Professor to Student: A professor is suggesting a student review a section of a paper.","Ar fi o idee bună să mai citești o dată capitolul 2.","Citește capitolul 2.","A","Indirectness","Education","Professor->Student"
"Waiter to Customer: A waiter is informing a customer about the long wait time for their order.","Comanda dumneavoastră va mai dura puțin, sper că nu deranjează.","Comanda dumneavoastră mai durează.","A","Indirectness","Services","Waiter->Customer"
"Junior Employee to Senior Colleague: A junior employee is asking a senior colleague for guidance.","M-ai putea îndruma, te rog, în legătură cu acest task?","Spune-mi cum să fac task-ul ăsta.","A","Indirectness","Workplace","Junior->Senior"
"Citizen to Clerk: A citizen is making a request.","Ar fi posibil să obțin o copie certificată?","Dă-mi o copie certificată.","A","Indirectness","Administration","Citizen->Clerk"
"Friend to Friend (Declining a Request): A friend is declining to help another friend move.","Mi-aș dori mult să te ajut, dar cred că nu voi avea timp.","Nu te ajut să te muți.","A","Indirectness","Friends","Friend->Friend"
"Cashier to Customer: A cashier is politely asking for the exact amount.","Ați avea cumva bani potriviți?","Dă bani potriviți.","A","Indirectness","Commerce","Cashier->Customer"
"Parent to Child: A parent is telling a child to share their toys with a friend.","Ce-ar fi să-ți împarți jucăriile cu Andrei?","Împarte jucăriile cu Andrei!","A","Indirectness","Family","Parent->Child"
"Doctor to Nurse: A doctor is suggesting a change in a patient's treatment.","M-aș gândi să modificăm puțin planul de tratament.","Modifică planul de tratament.","A","Indirectness","Healthcare","Doctor->Nurse"
"Employee to Manager: An employee wants to take a day off for personal reasons.","Aș avea o problemă personală și m-aș întreba dacă aș putea lipsi mâine.","Mâine lipsesc.","A","Indirectness","Workplace","Employee->Manager"
"Neighbor to Neighbor: A neighbor is asking to borrow a cup of sugar.","Ați avea, cumva, o cană de zahăr în plus?","Dă-mi o cană de zahăr.","A","Indirectness","Family","Neighbor->Neighbor"
"Professor to Student: A professor is suggesting that a student improve their writing style.","Cred că ar trebui să lucrezi la stilul academic al lucrării.","Scrie mai bine.","A","Indirectness","Education","Professor->Student"
"Waiter to Customer: A waiter is informing a customer that a table is reserved.","Din păcate, această masă este deja rezervată.","Masa este ocupată.","A","Indirectness","Services","Waiter->Customer"
"Patient to Doctor: A patient is expressing their opinion on a treatment plan.","Mi se pare că acest tratament ar putea să nu fie cel mai bun.","Cred că tratamentul ăsta e prost.","A","Indirectness","Healthcare","Patient->Doctor"
"Friend to Friend (Advising): A friend is advising another on a personal issue.","Poate ar fi o idee bună să vorbești cu el.","Vorbește cu el!","A","Indirectness","Friends","Friend->Friend"
"Citizen to Clerk: A citizen is asking for clarification on a document.","M-aș întreba dacă ați putea să-mi explicați secțiunea aceasta.","Explică-mi secțiunea asta.","A","Indirectness","Administration","Citizen->Clerk"

